Date,C/C++,C#,Go,Java,JavaScript,PHP,Python,R
January 2011,12.21,6.39,0.04,28.45,6.81,16.21,6.65,1.32
February 2011,12.46,6.41,0.03,28.23,6.93,16.23,6.87,1.28
November 2011,12.71,5.98,0.04,27.79,7.09,15.94,7.37,1.42
December 2011,12.37,6.13,0.03,27.78,7.19,15.75,7.68,1.43
January 2012,11.94,6.40,0.03,27.60,7.23,15.60,7.77,1.44
February 2012,11.39,6.77,0.03,27.33,7.22,15.54,7.82,1.49
November 2012,8.75,9.34,0.07,26.61,7.05,14.61,8.27,1.81
December 2012,8.61,9.50,0.07,26.64,7.04,14.39,8.38,1.86
January 2013,8.66,9.45,0.07,26.46,7.08,14.24,8.54,1.87
February 2013,8.61,9.48,0.08,26.68,7.02,14.27,8.79,1.87
November 2013,8.03,9.76,0.08,26.45,7.46,13.55,9.86,2.08
December 2013,8.08,9.75,0.07,26.38,7.32,13.32,9.79,2.12
January 2014,8.12,9.70,0.08,26.18,7.34,13.14,9.92,2.17
February 2014,8.13,9.60,0.10,26.08,7.34,13.01,9.96,2.17
November 2014,8.00,9.47,0.19,25.89,7.32,12.27,10.45,2.47
December 2014,7.99,9.24,0.21,25.66,7.29,11.98,10.48,2.48
January 2015,8.02,9.15,0.21,25.55,7.30,11.90,10.62,2.57
February 2015,7.97,9.25,0.23,25.31,7.33,11.74,10.76,2.67
November 2015,7.70,9.10,0.29,25.20,7.35,11.24,11.60,2.97
December 2015,7.71,9.05,0.27,25.14,7.44,11.23,11.83,2.99
January 2016,7.83,8.93,0.29,25.07,7.60,11.07,11.90,3.04
February 2016,7.80,8.99,0.29,24.87,7.60,11.02,12.25,3.06
November 2016,7.43,8.76,0.42,23.06,7.82,10.22,14.50,3.48
December 2016,7.61,8.65,0.41,23.09,7.93,10.12,14.85,3.52
January 2017,7.51,8.59,0.39,22.92,8.04,10.09,15.21,3.52
February 2017,7.57,8.46,0.44,22.53,8.03,9.97,15.57,3.61
November 2017,6.67,7.96,0.66,22.03,8.30,8.41,19.25,4.16
December 2017,6.60,7.78,0.71,22.08,8.26,8.33,19.61,4.15
January 2018,6.53,7.84,0.75,21.98,8.19,8.26,20.14,4.19
February 2018,6.41,7.83,0.81,21.78,8.20,8.22,20.57,4.15
November 2018,6.08,7.50,0.94,21.19,8.21,7.17,24.35,3.91
December 2018,6.20,7.46,0.98,21.03,8.10,7.18,24.56,3.96
January 2019,6.14,7.44,1.01,20.99,8.14,7.17,25.00,3.93
February 2019,6.10,7.44,1.02,20.79,8.10,7.17,25.52,3.94
November 2019,5.90,7.22,1.27,18.94,8.00,6.09,28.80,3.70
December 2019,5.95,7.20,1.36,18.72,7.92,6.10,28.79,3.70
January 2020,5.93,7.08,1.41,18.46,7.98,6.11,28.70,3.73
February 2020,5.86,7.20,1.39,18.25,7.90,6.18,29.28,3.75
November 2020,5.92,6.27,1.35,16.31,8.40,5.96,30.57,3.84
December 2020,6.17,6.49,1.28,16.52,8.57,6.05,30.61,3.83
January 2021,6.24,6.49,1.31,16.65,8.40,5.97,30.21,3.82
February 2021,6.47,6.72,1.25,16.74,8.48,6.10,29.97,3.84
November 2021,6.89,7.21,1.40,17.33,9.19,6.10,29.67,3.75
December 2021,6.95,7.19,1.34,17.70,9.02,6.19,29.37,4.09
January 2022,7.43,7.29,1.19,18.07,9.09,6.06,28.82,4.21
February 2022,7.49,7.46,1.22,18.08,9.03,5.97,28.38,4.25
November 2022,6.52,6.95,2.02,16.72,9.48,5.17,27.98,4.05
December 2022,6.68,6.93,1.96,16.70,9.39,5.21,28.01,3.99
January 2023,6.84,6.93,1.92,16.63,9.55,5.24,27.69,3.99
February 2023,6.84,6.92,1.93,16.60,9.57,5.15,27.42,4.09
March 2023,6.86,6.81,1.90,16.42,9.54,5.16,27.39,4.20
April 2023,6.73,6.82,1.96,16.35,9.52,5.14,27.29,4.23
May 2023,6.55,6.92,1.95,16.35,9.52,5.10,27.27,4.34
